File,Line,Index,Context
wiki/Valentin_Yanin.html,6,840,"embers of the USSR Academy of Sciences"",""Full Members of the Russia"
wiki/Valentin_Yanin.html,6,890,"ers of the Russian Academy of Sciences"",""Demidov Prize laureates"","""
wiki/Valentin_Yanin.html,66,90,"href=""/wiki/Soviet_Academy_of_Sciences"" class=""mw-redirect"" title="""
wiki/Valentin_Yanin.html,66,145,"ect"" title=""Soviet Academy of Sciences"">Soviet Academy of Sciences<"
wiki/Valentin_Yanin.html,66,173,"f Sciences"">Soviet Academy of Sciences</a>; he became a full academ"
wiki/Valentin_Yanin.html,144,1440,"rs_of_the_USSR_Academy_of_Sciences"" title=""Category:Full Members of"
wiki/Valentin_Yanin.html,144,1502,"rs of the USSR Academy of Sciences"">Full Members of the USSR Academ"
wiki/Valentin_Yanin.html,144,1548,"rs of the USSR Academy of Sciences</a></li><li><a href=""/wiki/Categ"
wiki/Valentin_Yanin.html,144,1632,"of_the_Russian_Academy_of_Sciences"" title=""Category:Full Members of"
wiki/Valentin_Yanin.html,144,1697,"of the Russian Academy of Sciences"">Full Members of the Russian Aca"
wiki/Valentin_Yanin.html,144,1746,"of the Russian Academy of Sciences</a></li><li><a href=""/wiki/Categ"
wiki/William_Harvey_Lillard.html,80,166," - Palmer, D.D. (1910) <i>The Science, Art and Philosophy of Chirop"
wiki/Victor_S._Mamatey.html,48,682,"/Franklin_College_of_Arts_and_Sciences"" title=""Franklin College of "
wiki/Victor_S._Mamatey.html,48,728,"""Franklin College of Arts and Sciences"">Franklin College of Arts an"
wiki/Victor_S._Mamatey.html,48,767,>Franklin College of Arts and Sciences</a>. In 1984 he retired.</p>
wiki/Table_Point_Formation.html,68,907,"""><a href=""/wiki/Portal:Earth_sciences"" title=""Portal:Earth science"
wiki/Table_Point_Formation.html,68,937,"sciences"" title=""Portal:Earth sciences"">Earth sciences portal</a></"
wiki/Table_Point_Formation.html,68,953,"""Portal:Earth sciences"">Earth sciences portal</a></span></li>"
wiki/Master_of_Space_and_Time.html,6,499,"84 American novels"",""American science fiction novels"",""Novels by Ru"
wiki/Master_of_Space_and_Time.html,6,554,"Novels by Rudy Rucker"",""1980s science fiction novel stubs""],""wgBrea"
wiki/Master_of_Space_and_Time.html,45,531,"ough space and time and weird science"".<sup id=""cite_ref-SFSite_3-0"
wiki/Master_of_Space_and_Time.html,61,49," about a 1980s <a href=""/wiki/Science_fiction_novel"" class=""mw-redi"
wiki/Master_of_Space_and_Time.html,61,99,"l"" class=""mw-redirect"" title=""Science fiction novel"">science fictio"
wiki/Master_of_Space_and_Time.html,61,122,"title=""Science fiction novel"">science fiction novel</a> is a <a hre"
wiki/Master_of_Space_and_Time.html,109,342,"=""/wiki/Category:American_science_fiction_novels"" title=""Category:A"
wiki/Master_of_Space_and_Time.html,109,391," title=""Category:American science fiction novels"">American science "
wiki/Master_of_Space_and_Time.html,109,424," fiction novels"">American science fiction novels</a></li><li><a hre"
wiki/Master_of_Space_and_Time.html,109,609,"ref=""/wiki/Category:1980s_science_fiction_novel_stubs"" title=""Categ"
wiki/Master_of_Space_and_Time.html,109,660,"bs"" title=""Category:1980s science fiction novel stubs"">1980s scienc"
wiki/Master_of_Space_and_Time.html,109,695,"iction novel stubs"">1980s science fiction novel stubs</a></li></ul>"
wiki/Urban_chicken.html,105,256,"pert with Oregon Health &amp; Science University in Portland, OR. H"
wiki/AlMidan.html,277,48,"/International_University_for_Science_and_Technology"" title=""Intern"
wiki/AlMidan.html,277,108,"""International University for Science and Technology"">International"
wiki/AlMidan.html,277,161,>International University for Science and Technology</a></li>
wiki/AlMidan.html,281,48,"/Higher_Institute_for_Applied_Science_and_Technology"" class=""mw-red"
wiki/AlMidan.html,281,128,"""Higher Institute for Applied Science and Technology"">Higher Instit"
wiki/AlMidan.html,281,181,>Higher Institute for Applied Science and Technology</a></li>
wiki/Jules_Verne_ATV.html,208,507,"century French <a href=""/wiki/Science-fiction"" class=""mw-redirect"" "
wiki/Jules_Verne_ATV.html,208,551,"n"" class=""mw-redirect"" title=""Science-fiction"">science-fiction</a> "
wiki/Jules_Verne_ATV.html,208,568,"rect"" title=""Science-fiction"">science-fiction</a> author <a href=""/"
wiki/Jules_Verne_ATV.html,427,231,"text"" href=""http://www.futura-sciences.com/fr/news/t/astronautique/"
wiki/Jules_Verne_ATV.html,427,427,"nnés""</a> (in French). Futura Sciences<span class=""reference-access"
wiki/Jules_Verne_ATV.html,427,831,ft_id=http%3A%2F%2Fwww.futura-sciences.com%2Ffr%2Fnews%2Ft%2Fastron
wiki/Jules_Verne_ATV.html,427,971,15986-1%2F&amp;rft.pub=Futura+Sciences&amp;rft_val_fmt=info%3Aofi%2
wiki/Jules_Verne_ATV.html,941,60,"ogramme_for_Life_and_Physical_Sciences_in_Space"" title=""European Pr"
wiki/Jules_Verne_ATV.html,941,127,"ogramme for Life and Physical Sciences in Space"">ELIPS</a></li>"
wiki/Jules_Verne_ATV.html,982,29,"<li><a href=""/wiki/Planetary_Science_Archive"" title=""Planetary Sci"
wiki/Jules_Verne_ATV.html,982,63,"nce_Archive"" title=""Planetary Science Archive"">Planetary Science Ar"
wiki/Jules_Verne_ATV.html,982,90,"ry Science Archive"">Planetary Science Archive</a></li>"
wiki/Jules_Verne_ATV.html,1007,33,"v style=""padding:0em 0.75em;"">Science</div>"
wiki/Jules_Verne_ATV.html,1033,43,"adding:0em 0.75em;"">Planetary science</div>"
wiki/Pictogram.html,491,47,"i/Computer_graphics_(computer_science)"" title=""Computer graphics (c"
wiki/Pictogram.html,491,92,"=""Computer graphics (computer science)"">in computer science</a></li"
wiki/Pictogram.html,491,114,"omputer science)"">in computer science</a></li>"
wiki/Pictogram.html,497,27,"<li><a href=""/wiki/Imaging_science"" title=""Imaging science"">Imag"
wiki/Pictogram.html,497,51,"aging_science"" title=""Imaging science"">Imaging science</a></li>"
wiki/Pictogram.html,497,68,"tle=""Imaging science"">Imaging science</a></li>"
wiki/Pictogram.html,499,31,"li><a href=""/wiki/Information_science"" title=""Information science"">"
wiki/Pictogram.html,499,59,"n_science"" title=""Information science"">Information science</a></li>"
